"SetuVillageId","PortalLocationCode","PortalOriginalVillageId","SetuVillageName","PortalVillageName","SetuBlockId","SetuBlockName","PortalBlockId","PortalBlockName","SetuDistrictId","SetuDistrictName","PortalDistrictId","PortalDistrictName","OverallStatus","DifferenceDetails"
"12506091","​130040019001900027","555855","Gumi","GUMI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506092","​130040019001900036","555864","Gunamati","GUNAMATI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506093","​130050018001800067","555895","Gundurabari","GUNDURABARI","12506","Nuagaon","130050","KAKATPUR","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506094","​130040019001900074","555902","Gundurasahi","GUNDURASAHI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506095","","","Gundurasahi","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506096","​130050018001800087","555915","Haridabandha","HARIDABANDHA","12506","Nuagaon","130050","KAKATPUR","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506097","​130310017001700090","555918","Haripur","HARIPUR","12506","Nuagaon","130170","RANPUR","125","Nayagarh","24","NAYAGARH","Different","Village text/case differs; Block assignment/name differs"
"12506098","​130040019001900084","555912","Hatiasila","HATIASILA","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506099","​130040019001900051","555879","Hemkapali","HEMKAPALI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506100","​130060019001900041","555869","Hiradeipur","HIRADEIPUR","12506","Nuagaon","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506101","​130040019001900063","555891","Jadupali","JADUPALI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130190015001500007","11267","","JAER SASAN","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506102","​130090025002500019","11278","Jaganathapur","JAGANATHAPUR","12506","Nuagaon","130090","DELANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506103","","","Jagannathprasad","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506104","","","Jakada","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506105","​130050018001800008","555836","Jamujhola","JAMUJHOLA","12506","Nuagaon","130050","KAKATPUR","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506106","​130100025002500098","11357","Jamusahi","JAMUSAHI","12506","Nuagaon","130100","KANAS","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130190015001500066","11325","","JASUAPUR","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506107","​130040019001900090","555918","Jayapur","JAYAPUR","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506108","","","Jaypali","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506109","​130060019001900062","555890","Jharana","JHARANA","12506","Nuagaon","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506110","​130030019001900017","555845","Jiginipada","JIGINIPADA","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506111","​130040019001900052","555880","Jodasahi","JODASAHI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130190015001500004","11263","","JOHAL","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506112","​130030019001900037","555865","Kachapali","KACHAPALI","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506113","​130040019001900059","555887","Kaithapali","KAITHAPALI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130190015001500080","11339","","KAKARUDRAPUR MELAK","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506114","","","Kakharumada","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506115","","","Kakharumada","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506116","","","Kalia","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506118","","","Kaliamba","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506117","​110200009000900032","9776","Kaliamba","KALIAMBA","12506","Nuagaon","110200","GUDARI","125","Nayagarh","27","RAYAGADA","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506119","","","Kampala","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506120","​130040019001900021","555849","Kanabanka","KANABANKA","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506121","​130030019001900041","555869","Kandhakhalamada","KANDHAKHALAMADA","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506122","​130030019001900067","555895","Kanigiri","KANIGIRI","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506123","​010290025002500179","563251","Kanjiamba","KANJIAMBA","12506","Nuagaon","010290","NAKTIDEUL","125","Nayagarh","28","SAMBALPUR","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130190015001500040","11299","","KANTI BARHOI","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506124","​130030019001900080","555908","Kantiamba","KANTIAMBA","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506125","​130030019001900063","555891","Kapagadu","KAPAGADU","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506126","​130040019001900025","555853","Kaptapalli","KAPTAPALLI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506127","","","Karachuli","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506128","","","Karadapali","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506129","","","Karadapali","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506130","​130030019001900074","555902","Kasikiari","KASIKIARI","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506131","​130040019001900013","555841","Kendubania","KENDUBANIA","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506132","​130040019001900073","555901","Kendubania","KENDUBANIA","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506133","","","Kepti","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506134","​130040019001900026","555854","Kerasinga","KERASINGA","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506135","​130040019001900009","555837","Kesanda","KESANDA","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506136","​130030019001900040","555868","Khalamada","KHALAMADA","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130190015001500081","11340","","KHAMANGSASAN","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506137","​130060019001900076","555904","Khandugaon","KHANDUGAON","12506","Nuagaon","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
